timestamp,solar_wind_speed,solar_wind_density,bz_component,solar_wind_pressure,bz_min_3h,dst_index,month,sin_month,cos_month,season,hour_interval,bz_negative,is_solar_maximum,is_storm
2019-01-01 08:00:00,459.0,4.0,1.9,842724.0,-1.0,-9.0,1,0.49999999999999994,0.8660254037844387,hiver,6h-9h,0.0,0,0
2019-01-01 09:00:00,453.0,4.5,2.5,923440.5,-1.0,-7.0,1,0.49999999999999994,0.8660254037844387,hiver,9h-12h,0.0,0,0
2019-01-01 10:00:00,446.0,5.2,-0.1,1034363.2000000001,-0.1,-4.0,1,0.49999999999999994,0.8660254037844387,hiver,9h-12h,1.0,0,0
2019-01-01 11:00:00,438.0,4.6,-3.4,882482.3999999999,-3.4,-9.0,1,0.49999999999999994,0.8660254037844387,hiver,9h-12h,1.0,0,0
2019-01-01 12:00:00,433.0,4.3,-3.4,806202.7,-3.4,-12.0,1,0.49999999999999994,0.8660254037844387,hiver,12h-15h,1.0,0,0
2019-01-01 13:00:00,430.0,4.3,-3.2,795070.0,-3.4,-17.0,1,0.49999999999999994,0.8660254037844387,hiver,12h-15h,1.0,0,0
2019-01-01 14:00:00,423.0,4.7,-3.5,840966.3,-3.5,-22.0,1,0.49999999999999994,0.8660254037844387,hiver,12h-15h,1.0,0,0
2019-01-01 15:00:00,430.0,4.7,-3.0,869030.0,-3.5,-22.0,1,0.49999999999999994,0.8660254037844387,hiver,15h-18h,1.0,0,0
2019-01-01 16:00:00,427.0,4.4,-1.0,802247.6000000001,-3.5,-20.0,1,0.49999999999999994,0.8660254037844387,hiver,15h-18h,1.0,0,0
2019-01-01 17:00:00,424.0,4.2,-1.4,755059.2000000001,-3.0,-14.0,1,0.49999999999999994,0.8660254037844387,hiver,15h-18h,1.0,0,0
2019-01-01 18:00:00,418.0,3.8,-1.4,663951.2,-1.4,-15.0,1,0.49999999999999994,0.8660254037844387,hiver,18h-21h,1.0,0,0
2019-01-01 19:00:00,404.0,3.1,0.2,505969.60000000003,-1.4,-16.0,1,0.49999999999999994,0.8660254037844387,hiver,18h-21h,0.0,0,0
2019-01-01 20:00:00,402.0,2.4,1.5,387849.6,-1.4,-13.0,1,0.49999999999999994,0.8660254037844387,hiver,18h-21h,0.0,0,0
2019-01-01 21:00:00,395.0,2.8,1.2,436870.0,0.2,-12.0,1,0.49999999999999994,0.8660254037844387,hiver,21h-24h,0.0,0,0
2019-01-01 22:00:00,392.0,2.8,0.8,430259.19999999995,0.8,-10.0,1,0.49999999999999994,0.8660254037844387,hiver,21h-24h,0.0,0,0
2019-01-01 23:00:00,385.0,2.6,1.1,385385.0,0.8,-7.0,1,0.49999999999999994,0.8660254037844387,hiver,21h-24h,0.0,0,0
2019-01-02 00:00:00,384.0,2.3,0.8,339148.8,0.8,-7.0,1,0.49999999999999994,0.8660254037844387,hiver,0h-3h,0.0,0,0
2019-01-02 01:00:00,386.0,2.0,0.5,297992.0,0.5,-11.0,1,0.49999999999999994,0.8660254037844387,hiver,0h-3h,0.0,0,0
